Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,Packet Number
MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,,50
MAC_PROTOCOL,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,,50
MAC_MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,,50
MAC_MAC_PROTOCOL,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,,50
MAC_FUNCTION,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,REQUEST,50
MAC_MAC_FUNCTION,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,REQUEST,50
MAC_ACTIVE,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,,50
IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,,114
IP_IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,,114
MAC_MAC,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,,113
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,,113
IP_MAC,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,,114
IP_ACTIVE,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,,114
ARP_GRATUITOUS_REPLY,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,28:63:36:a9:de:e6,,,113
IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,,115
IP_IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,,115
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,OPEN CONNECTION,117
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,OPEN CONNECTION,117
PROGRAM_UPLOAD,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,18:db:f2:38:71:39,172.16.106.199,,142
PROGRAM_UPLOAD,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:a9:de:e6,172.16.106.14,,142
IP_IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,138
MAC_MAC,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,,137
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,,137
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,REPLY,137
ARP_GRATUITOUS_REPLY,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,28:63:36:a9:ac:eb,,,137
IP_IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,139
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION,141
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,18:db:f2:38:71:39,,REPLY,113
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,REPLY,113
