frame.number,protocol,function,eth.src,eth.dst,ip.src,ip.dst,tcp.flags_ack,tcp.flags_fin,tcp.flags_reset,tcp.flags_syn,tcp.hdr_len,tcp.len,tcp.payload,ip.flags_df,ip.flags_mf,ip.flags_rb,ip.frag_offset,ip.hdr_len,ip.len,ip.ttl,ip.checksum,tcp.checksum,tcp.dstport,tcp.srcport,udp.checksum,udp.dstport,udp.length,udp.payload,udp.srcport,pn_rt.cycle_counter,ground_truth
1,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48288,0
2,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4704,0
3,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48352,0
4,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768,0
5,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48416,0
6,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4832,0
7,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48480,0
8,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4896,0
9,LLDP,CLIENT REPORT,54:e3:b0:00:55:b2,01:80:c2:00:00:0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48544,0
11,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,0
12,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48608,0
13,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024,0
14,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48672,0
15,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5088,0
16,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48736,0
17,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5152,0
18,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,0
19,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5216,0
20,Profinet,0,54:e3:b0:00:55:b7,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48864,0
21,Profinet,0,ac:64:17:03:4f:c5,54:e3:b0:00:55:b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280,0
26,LLDP,CLIENT REPORT,54:e3:b0:00:55:b8,01:80:c2:00:00:0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Profinet,PN DCP SET REQUEST,28:63:36:9a:90:b3,00:a0:45:9b:55:d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Profinet,PN DCP SET SUCCESS,00:a0:45:9b:55:d9,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ARP,REQUEST,28:63:36:9a:90:b3,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ARP,REPLY,00:a0:45:9b:55:d9,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ARP,REQUEST,ac:64:17:35:60:50,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,ARP,REQUEST,ac:64:17:35:60:50,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ARP,REPLY,28:63:36:a9:de:e6,ac:64:17:35:60:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ARP,REPLY,28:63:36:a9:ac:eb,ac:64:17:35:60:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,False,False,False,True,28,0,0,True,False,False,0,20,48,128,0xcd4b,0xa784,102,49176,0,0,0,0,0,0,0
98,0,0,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,False,False,False,True,28,0,0,True,False,False,0,20,48,128,0xcd4c,0x606d,102,49177,0,0,0,0,0,0,0
99,0,0,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,True,24,0,0,False,False,False,0,20,44,30,0x707d,0x342b,49176,102,0,0,0,0,0,0,0
100,0,0,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,True,24,0,0,False,False,False,0,20,44,30,0x7075,0xed11,49177,102,0,0,0,0,0,0,0
101,0,0,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,0,0,True,False,False,0,20,40,128,0xcd51,0xd8bb,102,49176,0,0,0,0,0,0,0
104,0,0,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,0,0,True,False,False,0,20,40,128,0xcd52,0x91a2,102,49177,0,0,0,0,0,0,0
109,S7,PLUS_REQUEST,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,22,03:00:00:16:11:e0:00:00:00:17:00:c1:02:02:00:c2:02:02:02:c0:01:0a,True,False,False,0,20,62,128,0xcd39,0xba3f,102,49176,0,0,0,0,0,0,0
110,S7,PLUS_REQUEST,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,22,03:00:00:16:11:e0:00:00:00:18:00:c1:02:02:00:c2:02:02:02:c0:01:0a,True,False,False,0,20,62,128,0xcd3a,0x7325,102,49177,0,0,0,0,0,0,0
113,Profinet,PTCP DELAY REQUEST,00:a0:45:9b:55:db,01:80:c2:00:00:0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,S7,PLUS_RESPONSE,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,22,03:00:00:16:11:d0:00:17:00:02:00:c0:01:0a:c1:02:02:00:c2:02:02:02,False,False,False,0,20,62,30,0x706a,0xade3,49176,102,0,0,0,0,0,0,0
117,S7,PLUS_RESPONSE,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,22,03:00:00:16:11:d0:00:18:00:03:00:c0:01:0a:c1:02:02:00:c2:02:02:02,False,False,False,0,20,62,30,0x7062,0x66c8,49177,102,0,0,0,0,0,0,0
120,S7,OPEN CONNECTION,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,25,03:00:00:19:02:f0:80:32:01:00:00:00:01:00:08:00:00:f0:00:00:01:00:03:00:f0,True,False,False,0,20,65,128,0xcd31,0x5358,102,49176,0,0,0,0,0,0,0
123,S7,OPEN CONNECTION,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,27,03:00:00:1b:02:f0:80:32:03:00:00:00:01:00:08:00:00:00:00:f0:00:00:01:00:02:00:f0,False,False,False,0,20,67,30,0x7064,0xc551,49176,102,0,0,0,0,0,0,0
124,S7,OPEN CONNECTION,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,25,03:00:00:19:02:f0:80:32:01:00:00:00:01:00:08:00:00:f0:00:00:01:00:03:00:f0,True,False,False,0,20,65,128,0xcd31,0x0c3f,102,49177,0,0,0,0,0,0,0
127,S7,STATE LIST,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,33,03:00:00:21:02:f0:80:32:07:00:00:00:01:00:08:00:08:00:01:12:04:11:44:01:00:ff:09:00:04:01:31:00:03,True,False,False,0,20,73,128,0xcd25,0xaefb,102,49176,0,0,0,0,0,0,0
128,S7,OPEN CONNECTION,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,27,03:00:00:1b:02:f0:80:32:03:00:00:00:01:00:08:00:00:00:00:f0:00:00:01:00:02:00:f0,False,False,False,0,20,67,30,0x705c,0x7e38,49177,102,0,0,0,0,0,0,0
135,S7,STATE LIST,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,33,03:00:00:21:02:f0:80:32:07:00:00:00:01:00:08:00:08:00:01:12:04:11:44:01:00:ff:09:00:04:01:31:00:03,True,False,False,0,20,73,128,0xcd25,0x67e2,102,49177,0,0,0,0,0,0,0
136,S7,STATE LIST,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,81,03:00:00:51:02:f0:80:32:07:00:00:00:01:00:0c:00:34:00:01:12:08:12:84:01:01:00:00:00:00:ff:09:00:30:01:31:00:03:00:28:00:01:00:03:7f:fc:83:01:00:f0:00:0c:00:01:02:09:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,False,False,False,0,20,121,30,0x702d,0x506e,49176,102,0,0,0,0,0,0,0
