Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,predictions
MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,,0
MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,ac:64:17:03:4f:c5,,,0
PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,ac:64:17:03:4f:c5,,,0
MAC_MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,,0
MAC_ACTIVE,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,ac:64:17:03:4f:c5,,,0
MAC,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,01:80:c2:00:00:0e,,,0
MAC,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,54:e3:b0:00:55:b2,,,0
PROTOCOL,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,01:80:c2:00:00:0e,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,54:e3:b0:00:55:b2,,,0
MAC_MAC,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,,,,0
MAC_ACTIVE,0.0.0.0,54:e3:b0:00:55:b2,0.0.0.0,01:80:c2:00:00:0e,LLDP,54:e3:b0:00:55:b2,,,0
MAC,0.0.0.0,54:e3:b0:00:55:b8,0.0.0.0,01:80:c2:00:00:0e,LLDP,54:e3:b0:00:55:b8,,,0
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b8,0.0.0.0,01:80:c2:00:00:0e,LLDP,54:e3:b0:00:55:b8,,,0
