FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-13 19:50:07.350884 +0000 UTC,2025-02-13 19:50:07.350884 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.24,54:e3:b0:00:55:b1,172.16.106.11,28:63:36:9a:90:b3,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICLGrgYC7nBUiBwoFDRhqEKwaAwiAECICCBEqCAi0oQMQgIADERAxpFYLLgYAGAE.pcap,54:e3:b0:00:55:b1,172.16.106.24,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,00:50:56:c0:00:01,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,00:50:56:c0:00:01,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,QBI-CjMKEwoHCNXnhduAEhoICLergYC7nBUSEwoHCNXnhduAEhoICMWfjbjBjCsaAwiGECIAKgAR7EMAXwsuBgA.pcap,54:e3:b0:00:55:b7,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIs6HqtLOMChoECJKRAiIAKgAR7EMAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,QBI-CjMKEwoHCNXnhduAEhoICLergYC7nBUSEwoHCNXnhduAEhoICMWfjbjBjCsaAwiGECIAKgAR7EMAXwsuBgA.pcap,,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,,,,1,3.4
