FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-14 14:43:57.556675 +0000 UTC,2025-02-14 14:43:57.556675 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.12,28:63:36:a9:ac:eb,172.16.106.22,00:30:de:41:df:28,Profinet,,28:63:36:a9:ac:eb,172.16.106.12,,1,3.4
2025-02-14 14:43:57.567654 +0000 UTC,2025-02-14 14:43:57.567654 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.11,28:63:36:9a:90:b3,172.16.106.21,00:a0:45:9b:55:d9,Profinet,,28:63:36:9a:90:b3,172.16.106.11,,1,3.4
2025-02-14 14:43:57.567661 +0000 UTC,2025-02-14 14:43:57.567661 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.11,28:63:36:9a:90:b3,Profinet,,ac:64:17:03:4f:c5,172.16.106.13,,1,3.4
2025-02-14 14:43:57.56914 +0000 UTC,2025-02-14 14:43:57.56914 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.12,28:63:36:a9:ac:eb,172.16.106.11,28:63:36:9a:90:b3,Profinet,,28:63:36:a9:ac:eb,172.16.106.12,,1,3.4
2025-02-14 14:43:57.569147 +0000 UTC,2025-02-14 14:43:57.569147 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,Profinet,,28:63:36:9a:90:b3,172.16.106.11,,1,3.4
2025-02-14 14:45:46.644179 +0000 UTC,2025-02-14 14:45:46.644179 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RxJFCjoKFgoHCNXnhduAEhIBABoICLergYC7nBUSFgoHCNXnhduAEhIBABoICMWfjbjBjCsaBAiSkQIiACoAEYpfWTQbLgYA.pcap,54:e3:b0:00:55:b7,,,1,3.4
2025-02-14 14:45:46.64418 +0000 UTC,2025-02-14 14:45:46.64418 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RxJFCjoKFgoHCNXnhduAEhIBABoICLergYC7nBUSFgoHCNXnhduAEhIBABoICMWfjbjBjCsaBAiSkQIiACoAEYpfWTQbLgYA.pcap,ac:64:17:03:4f:c5,,,1,3.4
2025-02-14 14:45:46.644193 +0000 UTC,2025-02-14 14:45:46.644193 +0000 UTC,ARP_GRATUITOUS_REPLY,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,28:63:36:a9:ac:eb,ARP,QhJACjMKEwoHCNXnhduAEhoICOvZprWzjAoSEwoHCNXnhduAEhoICNDA1bnBjCsaAwiGECIAKgARjuJvNBsuBgAYAQ.pcap,28:63:36:a9:ac:eb,,,1,3.4
2025-02-14 14:45:46.644204 +0000 UTC,2025-02-14 14:45:46.644204 +0000 UTC,TCP_RETRANSMISSION,172.16.106.14,28:63:36:a9:de:e6,172.16.106.31,ac:64:17:35:60:50,S7,WhJYCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJiAAxGKX1k0Gy4GAA.pcap,ac:64:17:35:60:50,172.16.106.31,,1,3.4
2025-02-14 14:45:46.644204 +0000 UTC,2025-02-14 14:45:46.644204 +0000 UTC,TCP_RETRANSMISSION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,ac:64:17:35:60:50,172.16.106.31,,1,3.4
2025-02-14 14:45:46.644297 +0000 UTC,2025-02-14 14:45:46.644297 +0000 UTC,TCP_RETRANSMISSION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,28:63:36:a9:ac:eb,172.16.106.12,,1,3.4
2025-02-14 14:45:46.644297 +0000 UTC,2025-02-14 14:45:46.644297 +0000 UTC,TCP_RETRANSMISSION,172.16.106.14,28:63:36:a9:de:e6,172.16.106.31,ac:64:17:35:60:50,S7,WhJYCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJiAAxGKX1k0Gy4GAA.pcap,28:63:36:a9:de:e6,172.16.106.14,,1,3.4
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,172.16.106.12,OPEN CONNECTION,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,172.16.106.12,STATE LIST,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,,OPEN CONNECTION,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxE1bVk0Gy4GABgB.pcap,,,STATE LIST,1,6.7
2025-02-14 14:45:46.644304 +0000 UTC,2025-02-14 14:45:46.644304 +0000 UTC,ARP_GRATUITOUS_REPLY,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ac:64:17:35:60:50,ARP,QBI-CjMKEwoHCNXnhduAEhoICLOh6rSzjAoSEwoHCNXnhduAEhoICNDA1bnBjCsaAwiGECIAKgAR6WRZNBsuBgA.pcap,28:63:36:9a:90:b3,,,1,3.4
