Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,Packet Number
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,OPEN CONNECTION,22
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,STATE LIST,24
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION,22
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST,24
ARP_GRATUITOUS_REQUEST,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,28:63:36:9a:90:b3,,,50
IP_IP_PROTOCOL,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,,115
IP_ACTIVE,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,,12
PROGRAM_UPLOAD,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:9a:90:b3,172.16.106.11,,121
MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,,126
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,,126
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,126
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,126
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,PLC STOP,122
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD REQUEST,118
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD END,120
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,OPEN CONNECTION,117
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,PLC CONTROL,121
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD,119
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD,119
